fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
2.4,.410,1.0,1.1,.449,0.5,64,6-9,1.5,2.6,6.53,3.0
0.0,,0.0,0.0,,0.0,2,,1.0,0.0,8.31,1.0
7.2,.453,3.3,3.0,.745,2.2,121,6-6,2.3,9.6,0.61,4.7
3.0,.381,1.1,0.6,.500,0.3,7,,0.4,2.6,2.54,0.3
7.4,.457,3.4,3.8,.670,2.5,100,6-6,1.6,9.3,4.09,2.4
7.8,.316,2.5,1.9,.514,1.0,20,,1.9,5.8,-3.78,
2.4,.318,0.8,0.1,1.000,0.1,9,6-7,0.3,1.7,-5.41,2.6
11.6,.446,5.2,4.8,.746,3.5,48,6-3,2.6,13.9,3.08,3.0
0.9,.429,0.4,0.2,.333,0.1,16,6-0,0.6,0.8,0.54,0.2
3.0,.479,1.4,0.8,.800,0.6,32,5-11,1.4,4.4,5.25,2.2
6.3,.385,2.4,3.9,.762,3.0,27,6-0,2.3,7.8,5.15,4.6
0.8,.313,0.3,1.0,.575,0.6,83,6-1,0.9,1.1,-4.38,0.9
2.1,.406,0.9,0.6,.517,0.3,98,6-7,1.8,2.0,-2.93,1.6
1.5,.167,0.3,0.3,.500,0.1,24,6-6,0.4,0.7,-7.40,1.1
3.3,.532,1.8,1.7,.508,0.9,75,6-9,1.4,4.4,1.12,2.7
2.3,.708,1.6,1.3,.500,0.6,63,6-8,2.1,3.9,-1.75,3.6
9.8,.407,4.0,1.8,.709,1.3,125,6-8,2.7,11.2,-4.95,5.1
2.2,.391,0.9,0.6,.625,0.4,52,6-6,0.8,2.6,-1.89,1.0
1.3,.565,0.7,1.0,.632,0.7,55,6-9,0.7,2.1,-2.27,1.3
0.8,.143,0.1,0.0,,0.0,9,5-11,0.6,0.2,2.46,0.6
6.7,.411,2.8,3.5,.717,2.5,52,6-0,1.9,8.0,-8.06,2.6
9.2,.520,4.8,4.6,.715,3.3,27,6-4,2.6,12.8,,3.7
1.5,.299,0.5,0.4,.842,0.4,44,6-4,0.9,1.5,-6.55,1.1
1.0,.355,0.4,0.4,.333,0.1,30,6-10,1.5,0.9,-4.40,1.0
2.7,.333,0.9,2.0,.643,1.3,21,,1.8,3.1,5.95,2.9
0.0,,0.0,0.0,,0.0,4,6-5,0.0,0.0,-4.78,0.0
4.4,.449,2.0,2.0,.761,1.5,66,6-4,1.3,5.5,1.81,3.5
1.5,.300,0.5,0.3,.500,0.2,13,5-7,0.0,1.1,0.03,0.2
1.5,.167,0.3,0.0,,0.0,8,,0.4,0.5,-11.77,0.1
0.9,.500,0.5,0.5,.444,0.2,19,,0.6,1.2,11.72,1.6
3.1,1.138,3.5,3.2,.610,2.0,75,6-2,1.8,9.0,0.10,
8.2,.632,5.2,4.2,.729,3.1,74,6-10,3.0,13.5,4.67,9.4
2.0,.521,1.0,1.2,.333,0.4,105,7-0,1.9,2.5,-1.74,3.2
2.0,.450,0.9,0.3,.667,0.2,10,,0.5,2.0,6.12,
0.6,.200,0.1,0.6,.600,0.4,8,6-1,0.5,0.8,-0.60,0.9
